,PCs
1,10.96536141
2,-3.356263708
3,2.331568816
4,12.73445086
5,5.030188124
6,12.21867127
7,7.959782122
8,6.647646102
9,5.781820708
10,0.961533206
11,6.089385699
12,7.562360785
13,2.653374899
14,-2.148032555
15,4.212470061
16,7.960559374
17,10.41427033
18,10.90307438
19,13.77536375
20,13.77536375
21,6.069578779
22,6.456574679
23,11.03577256
24,8.511890969
25,8.156026345
26,7.143042327
27,9.407031612
28,7.137141716
29,9.702157255
30,13.84795619
31,12.21867127
32,7.901499226
33,12.89464729
34,4.754214761
35,9.020812965
36,12.07668545
37,10.57672818
38,14.27476482
39,3.020563878
40,13.52161
41,9.825898309
42,12.27773142
43,12.97182609
44,2.606252824
45,7.351715322
46,8.962404466
47,4.041004741
48,1.831072982
49,6.462061126
50,13.65317038
51,0.177078802
52,5.762480008
53,9.825898309
54,4.755180434
55,8.898433245
56,2.2983768
57,10.98297258
58,11.03622432
59,9.072743489
60,2.563844446
61,5.121638154
62,13.90701634
63,-7.184029334
64,8.452018514
65,-4.248395827
66,2.463941509
67,0.274288304
68,-0.977949736
69,6.822733599
70,8.704645872
71,3.093064116
72,12.27773142
73,-4.969552846
74,2.758538046
75,7.9219104
76,13.58067015
77,11.23681853
78,14.18170035
79,1.123184296
80,13.48760568
81,8.125672322
82,7.75873615
83,11.329883
84,12.60566717
85,7.390734864
86,3.777599711
87,8.019080218
88,12.07668545
89,7.33851318
90,-0.799666118
91,9.30121676
92,13.58067015
93,14.27476482
94,1.352269444
95,11.40238324
96,9.824350618
97,13.58067015
98,10.28897011
99,9.131803638
100,12.27773142
101,7.890388741
102,10.37526339
103,8.783437727
104,14.46945842
105,3.257846911
106,9.601725212
107,13.58067015
108,13.58067015
109,1.77132169
110,14.60111101
111,4.661569114
112,12.07668545
113,-10.99971919
114,4.526096265
115,9.855318359
116,9.313967141
117,3.380523386
118,2.169916747
119,4.329654704
120,9.073520742
121,7.41032837
122,11.85251235
123,4.683455586
124,10.28897011
125,13.77536375
126,6.455797426
127,10.09395045
128,12.97182609
129,9.204396081
130,1.804076826
131,14.46945842
132,11.12883703
133,11.46629371
134,14.60111101
135,9.825898309
136,2.433689562
137,4.598688708
138,0.758896689
139,13.77536375
140,7.084667226
141,6.462479951
142,12.27773142
143,14.52851857
144,8.233653823
145,12.60566717
146,12.97182609
147,8.090890747
148,8.183955218
149,9.660785361
150,1.849277746
151,10.62943596
152,-0.704787909
153,7.693403214
154,11.6562292
155,3.518283184
156,9.007285332
157,5.473944684
158,7.835389038
159,11.5245766
160,7.585520669
161,-0.046511298
162,13.80975432
163,1.030219652
164,11.9115725
165,3.281006795
166,14.52851857
167,8.706584569
168,14.46945842
169,4.466943911
170,2.563844446
171,1.514154393
172,13.58067015
173,14.46945842
174,11.75928728
175,14.46945842
176,4.407163661
177,-4.47024398
178,6.944352196
179,12.21867127
180,1.817278967
181,12.21944853
182,9.825898309
183,13.80975432
184,-3.030069905
185,12.80020017
186,14.46945842
187,14.18170035
188,10.35488003
189,14.27476482
190,10.00793373
191,12.27773142
192,13.77536375
193,-3.06549525
194,3.257939116
195,8.784985418
196,4.447628039
197,5.845245081
198,4.261404009
199,10.35488003
200,6.363024115
201,8.032282359
202,13.48760568
203,12.82751533
204,11.55896717
205,11.03577256
206,10.0423243
207,10.76108855
208,10.51844529
209,14.27476482
210,14.52851857
211,11.40247545
212,-4.411570078
213,-3.095973179
214,7.208952246
215,11.03577256
216,2.333158375
217,-2.68138135
218,9.039283133
219,3.379465508
220,1.030219652
221,14.46945842
222,6.984618548
223,13.77536375
224,9.459739389
225,8.834788824
226,7.185902467
227,14.46945842
228,7.238372297
229,14.27467261
230,-0.766624586
231,12.21867127
232,4.427547016
233,-2.935191697
234,8.521411894
235,9.601725212
236,3.452372288
237,6.231463728
238,11.9309132
239,7.41032837
240,13.65317038
241,11.15841768
242,7.084759431
243,3.281006795
244,13.58067015
245,13.58067015
246,5.703419859
247,8.783437727
248,1.975383749
249,-1.559664063
250,-6.704596015
251,13.58067015
252,-3.528242287
253,9.14610203
254,8.445780781
255,7.285805403
256,9.825898309
257,13.65317038
258,2.246446276
259,-1.367654786
260,14.27467261
261,3.713209665
262,7.279453031
263,12.60566717
264,3.091514413
265,10.34167789
266,10.43465016
267,9.236369501
268,12.21867127
269,-1.712886625
270,0.901337122
271,-3.940843432
