,PCs
1,8.848471765
2,10.35562334
3,7.217149212
4,10.20306624
5,10.35562334
6,6.190572844
7,9.378258876
8,1.610878642
9,7.719446013
10,10.04879576
11,6.157678811
12,7.072312864
13,5.222158932
14,9.419268358
15,10.35562334
16,8.041561877
17,4.840057741
18,6.998409348
19,5.801418614
20,9.200923197
21,3.48652205
22,8.041561877
23,6.998409348
24,8.041561877
25,6.158513913
26,9.378258876
27,5.596526584
28,10.20306624
29,7.568279325
30,9.507673169
31,3.366412802
32,8.409009863
33,8.041561877
34,5.850316237
35,0.8196762
36,6.186650849
37,9.419268358
38,9.200923197
39,8.505469408
40,10.17017221
41,8.041561877
42,9.419268358
43,7.528104945
44,5.22132383
45,9.200923197
46,9.200923197
47,3.67280828
48,9.419268358
49,10.20306624
50,4.039421163
51,2.537045179
52,7.904897141
53,8.537528339
54,10.17017221
55,5.549920414
56,5.839442731
57,8.041561877
58,7.684466578
59,8.866124922
60,7.719446013
61,5.986869741
62,8.815577731
63,10.20306624
64,10.35562334
65,5.508910932
66,7.568279325
67,10.35562334
68,6.732591252
69,1.447833504
70,7.719446013
71,0.940749214
72,9.378258876
73,0.266532764
74,7.031303382
75,9.660230264
76,3.03007819
77,-2.525285143
78,8.409009863
79,8.537528339
80,7.837023673
81,0.940341758
82,3.105777048
83,8.537528339
84,7.528104945
85,10.20306624
86,7.904897141
87,10.35562334
88,7.872003108
89,9.345364843
90,10.20306624
91,3.827683032
92,-2.116073714
93,9.345364843
94,6.336571873
95,4.105869969
96,6.519169428
97,3.769084217
98,9.23381723
99,6.654541089
100,8.866124922
101,10.35562334
102,10.35562334
103,10.35562334
104,8.866124922
105,6.831876769
106,8.041561877
107,9.386374325
108,9.23381723
109,7.810076333
110,8.376115829
111,0.962563537
112,8.008667844
113,9.192807748
114,2.114738796
115,-1.577096147
116,10.35562334
117,8.504634306
118,8.833230889
119,10.35562334
120,10.35562334
121,6.046721977
122,10.20306624
123,10.35562334
124,9.419268358
125,10.20306624
126,6.372569702
127,8.537528339
128,7.872003108
129,9.419268358
130,7.528104945
131,8.008667844
132,-2.400145692
133,7.164015311
134,9.23381723
135,8.409009863
136,7.869917706
137,9.140983899
138,1.212580119
139,-2.902077339
140,7.568279325
141,10.35562334
142,5.972227683
143,9.23381723
144,0.840982785
145,7.568279325
146,9.192807748
147,8.041561877
148,6.062054368
149,9.378258876
150,6.019763775
151,0.294952904
152,-7.62071075
153,7.86388766
154,6.019824489
155,9.419268358
156,3.67280828
157,6.227660331
158,3.298822537
159,8.041561877
160,-2.054672462
161,9.419268358
162,-2.013151189
163,8.537528339
164,3.665943132
165,8.041561877
166,5.986869741
167,10.35562334
168,7.031303382
169,10.35562334
170,9.419268358
171,5.510893956
172,2.790495689
173,5.167952314
174,6.062054368
175,-7.269653659
176,6.190572844
177,4.309405136
178,4.30752488
179,8.041561877
180,5.835562947
181,0.929669503
182,6.190572844
183,5.316148646
184,2.628820649
185,10.35562334
186,7.031303382
187,8.041561877
188,9.419268358
189,3.297266384
190,7.527269843
191,10.35562334
192,9.378258876
193,7.187013236
194,10.20306624
195,-1.091351613
196,10.20306624
197,8.352077211
198,8.688695027
199,7.009677556
200,6.833878214
201,10.35562334
202,2.815243463
203,3.967268272
204,5.02463955
205,0.456550854
206,7.823216716
207,-1.783473954
208,10.20306624
209,7.361590858
210,6.85965921
211,2.820996819
212,4.636121463
213,8.537528339
214,7.072312864
215,8.041561877
216,9.419268358
217,9.038537265
218,9.378258876
219,-1.602480135
220,6.853967702
221,9.345364843
222,5.836398049
223,5.869292082
224,6.486275394
225,0.970007786
226,10.20306624
227,8.841252122
228,9.345364843
229,7.568279325
230,8.008667844
231,7.651572545
232,10.20306624
233,9.378258876
234,3.706952614
235,8.537528339
236,7.823216716
237,-1.544113575
238,8.874146155
239,7.467036765
240,8.029493622
241,-3.379037564
242,7.527269843
243,10.35562334
244,7.467036765
245,9.386374325
246,9.543864839
247,10.35562334
248,10.35562334
249,10.35562334
250,10.17017221
251,5.004798211
252,3.121780637
253,9.510970806
254,8.197271731
255,7.904897141
256,8.011820603
257,2.651745551
258,8.008667844
259,5.850316237
260,-0.101368741
261,7.341818715
262,-5.293934408
263,3.006447947
264,8.008667844
265,6.013733728
266,9.378258876
267,8.537528339
268,-3.945302891
269,10.17017221
270,9.952742398
271,10.20306624
272,4.676201627
273,0.178929554
274,4.668413569
275,6.845852254
276,7.904897141
277,8.688695027
278,10.35562334
279,7.904897141
280,6.045886875
281,9.378258876
282,0.479419592
283,10.35562334
284,4.791160118
285,9.378258876
286,6.654480375
287,8.409009863
288,10.35562334
289,8.041561877
290,10.35562334
291,9.378258876
292,4.32961468
293,5.147420315
294,10.20306624
295,8.874146155
296,6.053908108
297,10.20306624
298,6.900668692
299,8.537528339
300,6.709187518
301,8.19864183
302,2.136006947
303,-5.796291924
304,7.072312864
305,8.409009863
306,10.35562334
307,6.691567861
308,2.605044561
309,9.159913715
310,7.025265173
311,9.192807748
312,9.378258876
313,9.23381723
314,10.20306624
315,5.345920312
316,6.190572844
317,0.785472007
318,5.490068178
319,10.35562334
320,2.169422067
321,10.17017221
322,7.869917706
323,9.386374325
324,7.382828197
325,1.00434119
326,6.840827319
327,8.537528339
328,4.504557456
329,8.655800994
330,9.507673169
331,3.31007093
332,8.008667844
333,9.23381723
334,-2.090391862
335,8.041561877
336,6.190572844
337,9.386374325
338,10.17017221
339,6.157678811
340,6.998409348
341,3.031320748
342,9.378258876
343,10.35562334
344,10.35562334
345,6.796790728
346,7.837023673
347,6.335409193
348,10.35562334
349,10.20306624
350,5.353403442
351,7.49437581
352,-1.438667667
353,5.336859304
354,3.678046441
355,3.322928467
356,8.537528339
357,8.866124922
358,10.17017221
359,-2.27584299
360,-5.455752112
361,5.490068178
362,8.505530122
363,6.886861736
364,5.22132383
365,5.522962211
366,2.629655751
367,9.378258876
368,4.309405136
369,1.094604267
370,6.053908108
371,7.072312864
372,6.154575016
373,10.35562334
374,6.157678811
375,5.991999826
376,6.128772639
377,5.30461705
378,8.008667844
379,7.872003108
380,3.994539715
381,10.20306624
382,3.350692416
383,6.190572844
384,8.538424156
385,8.153504192
386,9.378258876
387,7.904897141
388,10.20306624
389,3.629110013
390,10.35562334
391,2.688599863
392,4.122073752
393,9.378258876
394,7.651572545
395,7.872003108
396,6.161666672
397,9.378258876
398,3.719192811
399,8.170731848
400,9.419268358
401,9.985636432
402,9.378258876
403,10.20306624
404,9.510970806
405,9.419268358
406,10.35562334
407,2.47314585
408,7.701840266
409,9.378258876
410,9.419268358
411,10.35562334
412,8.153504192
413,9.543864839
414,9.660230264
415,5.016785626
416,10.20306624
417,10.35562334
418,6.019763775
419,-3.120422501
420,8.833230889
421,10.20306624
422,5.850316237
423,3.664089449
424,-4.248164369
425,4.745374477
426,7.869917706
427,10.17017221
428,9.200923197
429,10.17017221
430,8.041561877
431,10.35562334
432,-1.691904644
433,7.837023673
434,7.856110749
435,8.841252122
436,-0.532612521
437,9.419268358
438,5.188429797
439,6.998409348
440,3.96643317
441,10.35562334
442,3.671973178
443,10.20306624
444,3.662004047
445,10.35562334
446,10.35562334
447,7.837023673
448,3.644317306
449,9.23381723
450,7.856110749
451,8.041561877
452,8.874146155
453,8.815577731
454,5.22132383
455,8.008667844
456,-2.569052682
457,9.378258876
458,3.48652205
459,7.28367104
460,9.23381723
461,10.17017221
462,6.158513913
463,9.419268358
464,10.35562334
465,3.822895543
466,10.20306624
467,10.20306624
468,8.409009863
469,8.352077211
470,9.378258876
471,3.330160418
472,7.869917706
473,10.17017221
474,7.97892657
475,10.20306624
476,8.041561877
477,7.684466578
478,9.378258876
479,8.056828793
480,2.330943622
481,10.20306624
482,1.365191676
483,9.108089865
484,2.839839573
485,7.684466578
486,3.992720173
487,0.365816646
488,2.795261714
489,10.35562334
490,10.17017221
491,10.35562334
492,2.524976924
493,8.409009863
494,10.35562334
495,5.490068178
496,6.190572844
497,4.877970627
498,9.419268358
499,7.856110749
500,6.691567861
501,9.23381723
502,8.866124922
503,8.504634306
504,3.42192358
505,7.341818715
506,9.419268358
507,10.20306624
508,8.352077211
509,-2.231496351
510,-6.564664285
511,6.519169428
512,9.419268358
513,-3.263610655
514,10.35562334
515,7.605786903
516,0.435393935
517,-2.234927724
518,5.106025539
519,4.368262069
520,5.490068178
521,9.378258876
522,0.67105444
523,3.317798383
524,9.863344633
525,8.041561877
526,-4.914551905
527,6.190572844
528,4.30752488
529,10.35562334
530,5.508910932
531,-0.568834515
532,6.021014075
533,8.688695027
534,5.286719569
535,3.155917229
536,5.303130169
537,3.298822537
538,7.651572545
539,9.386374325
540,-0.585302427
541,8.874146155
542,9.378258876
543,9.386374325
544,-3.791049309
545,-2.090391862
546,0.115459144
547,8.056828793
548,5.836398049
549,0.389573672
550,9.419268358
551,10.35562334
552,9.419268358
553,10.20306624
554,8.041561877
555,6.053908108
556,6.190572844
557,2.863135183
558,9.660230264
559,9.419268358
560,5.522962211
561,7.031303382
562,9.419268358
563,4.858198485
564,6.85965921
565,6.519169428
566,8.041561877
567,6.190572844
568,7.837023673
569,10.35562334
570,7.031303382
571,7.993301952
572,8.655800994
573,10.35562334
574,10.35562334
575,7.072312864
576,5.522962211
577,1.893436537
578,8.041561877
579,6.018928673
580,6.190572844
581,7.960407919
582,10.04879576
583,8.164377698
584,6.128772639
585,5.850316237
586,-4.707957653
587,6.966584513
588,5.386297475
589,7.869917706
590,5.73170999
591,2.956101652
592,8.537528339
593,10.35562334
594,8.874146155
595,10.35562334
596,5.180314349
597,5.522962211
598,-0.366098434
599,8.409009863
600,7.869917706
601,10.35562334
602,-0.582885794
603,10.35562334
604,8.041561877
605,8.352077211
606,7.904897141
607,8.841252122
608,8.008667844
609,10.35562334
610,8.537528339
611,9.800185304
612,10.20306624
613,0.304790056
614,-2.7667787
615,6.989073503
616,0.145200418
617,8.041561877
618,7.624625205
619,8.008667844
620,5.337511083
621,-3.068591427
622,10.20306624
623,10.35562334
624,9.419268358
625,8.866124922
626,5.641622861
627,3.15464428
628,2.992305153
629,6.190572844
630,8.164377698
631,9.419268358
632,3.800754185
633,7.308924682
634,10.35562334
635,7.40260034
636,-4.348183831
637,7.823216716
638,8.537528339
639,4.553713197
640,9.419268358
641,7.651572545
642,9.378258876
643,7.947420975
644,6.134291686
645,5.30461705
646,-5.920888405
647,6.190572844
648,3.441559762
649,7.031303382
650,9.419268358
651,7.072312864
652,6.190572844
653,3.22626157
654,10.35562334
655,8.041561877
656,9.23381723
657,7.823216716
658,5.03562838
659,6.180603713
660,9.378258876
661,-4.09393799
662,8.041561877
663,8.008667844
664,6.018928673
665,10.17017221
666,9.543864839
667,1.622411126
668,10.17017221
669,8.505469408
670,8.537528339
671,6.313388665
672,0.846540187
673,7.475365747
674,9.016387418
675,9.378258876
676,9.419268358
677,9.378258876
678,5.817422203
679,10.17017221
680,8.008667844
681,8.041561877
682,9.378258876
683,8.505469408
684,7.072312864
685,10.20306624
686,8.537528339
687,10.20306624
688,7.856110749
689,-5.422858079
690,10.35562334
691,8.197271731
692,9.345364843
693,10.40378429
694,6.519169428
695,2.988995685
696,8.537528339
697,6.005121716
698,6.494296627
699,10.35562334
700,2.362467556
701,9.419268358
702,5.522962211
703,5.995152585
704,10.17017221
705,10.20306624
706,6.867774659
707,3.483271254
708,6.687374408
709,3.316963281
710,1.282154519
711,8.874146155
712,10.35562334
713,7.856110749
714,7.823216716
715,10.35562334
716,7.856110749
717,6.251599434
718,7.031303382
719,6.157678811
720,2.990311266
721,7.568279325
722,9.23381723
723,2.652280548
724,4.439866102
725,8.505469408
726,-1.890404641
727,4.514789118
728,7.823216716
729,0.452879708
730,8.504634306
731,3.582528075
732,6.190572844
733,8.409009863
734,8.504634306
735,2.655299341
736,9.345364843
737,-0.754285643
738,5.510601825
739,9.192807748
740,9.386374325
741,5.22132383
742,8.041561877
743,-2.68216943
744,3.543454702
745,5.962258552
746,6.296978065
747,8.041561877
748,9.378258876
749,5.557941647
750,9.386374325
751,10.17017221
752,6.180603713
753,10.35562334
754,7.023992224
755,10.20306624
756,9.419268358
757,7.568279325
758,2.956174674
759,6.894638646
760,9.23381723
761,8.164377698
762,8.008667844
763,8.541721792
764,10.35562334
765,10.17017221
766,7.904897141
767,1.782376781
768,10.17017221
769,8.008667844
770,3.96643317
771,9.386374325
772,4.533216254
773,2.268718876
774,3.67405858
775,-0.858056345
776,5.972227683
777,8.041561877
778,10.20306624
779,0.28283684
780,10.35562334
781,7.568279325
782,3.543454702
783,4.136776525
784,5.345920312
785,8.866124922
786,5.181149451
787,10.35562334
788,10.35562334
789,10.35562334
790,8.874146155
791,7.349934164
792,5.022732319
793,5.8282826
794,9.378258876
795,6.837705994
796,3.688962249
797,1.282154519
798,7.678436532
799,4.829654538
800,5.715021599
801,9.378258876
802,9.200923197
803,10.35562334
804,0.768697587
805,8.170731848
806,4.654606613
807,9.507673169
808,3.706952614
809,7.56517553
810,8.041561877
811,4.991745516
812,2.998019258
813,10.35562334
814,0.944272681
815,3.021714863
816,9.693124297
817,6.146553783
818,6.012898626
819,7.527269843
820,7.072312864
821,10.35562334
822,8.041561877
823,8.874146155
824,10.20306624
825,-0.672605217
826,4.018303049
827,4.676201627
828,2.773959992
829,8.164377698
830,6.190572844
831,0.274614711
832,7.823216716
833,5.960159428
834,8.504634306
835,9.419268358
836,7.904897141
837,5.522962211
838,9.510970806
839,6.127937537
840,6.062054368
841,9.345364843
842,9.419268358
843,-0.498779972
844,8.008667844
845,9.378258876
846,9.952742398
847,-0.892641272
848,8.352077211
849,7.684466578
850,7.68655198
851,4.807163707
852,7.495210912
853,3.443658885
854,0.786949561
855,6.053908108
856,9.800185304
857,6.685543562
858,8.866124922
859,4.33594502
860,0.145108904
861,8.170731848
862,-2.641254164
863,10.17017221
864,9.345364843
865,5.522962211
866,6.341739532
867,4.858198485
868,8.041561877
869,8.008667844
870,5.654217583
871,9.419268358
872,7.651572545
873,6.045886875
874,7.872003108
875,-4.118810791
876,-1.690640623
877,10.35562334
878,8.655800994
879,-4.029819208
880,1.118204118
881,9.378258876
882,10.35562334
883,7.719446013
884,7.072312864
885,8.833230889
886,3.615303057
887,6.053908108
888,7.869917706
889,6.018928673
890,3.48652205
891,7.988578356
892,3.706952614
893,9.543864839
894,8.537528339
895,8.352077211
896,10.35562334
897,7.313274769
898,6.157678811
899,3.780982042
900,7.856110749
901,7.823216716
902,4.865063633
903,3.146265442
904,5.962258552
905,10.35562334
906,3.358674773
907,6.313388665
908,-0.537143788
909,9.200923197
910,4.172968195
911,9.378258876
912,10.35562334
913,10.35562334
914,-1.891818844
915,3.506294193
916,5.522962211
917,5.522962211
918,9.378258876
919,5.817422203
920,3.147635541
921,9.660230264
922,6.157678811
923,8.008667844
924,2.670665233
925,4.295029753
926,9.378258876
927,9.419268358
928,10.20306624
929,1.834368566
930,7.40260034
931,10.20306624
932,7.856110749
933,6.135126788
934,8.008667844
935,7.869917706
936,10.35562334
937,8.537528339
938,7.837023673
939,10.35562334
940,3.49429896
941,-6.491684999
942,-0.560907568
943,3.181244878
944,5.86845698
945,1.181166816
946,6.900668692
947,3.488607452
948,9.419268358
949,8.319183178
950,8.186398226
951,10.20306624
952,0.969356007
953,9.510970806
954,9.378258876
955,4.668413569
956,0.980516138
957,6.157678811
958,7.823216716
959,3.298822537
960,10.35562334
961,10.35562334
962,9.378258876
963,5.817422203
964,4.662722061
965,-6.0983183
966,3.488607452
967,-3.864213245
968,1.9392568
969,1.457534254
970,8.319183178
971,10.20306624
972,7.16229459
973,10.20306624
974,-1.874107096
975,9.378258876
976,-0.535105379
977,6.486275394
978,7.060244609
979,-1.427926322
980,10.17017221
981,10.20306624
982,7.678530747
983,6.14770968
984,5.833477545
985,8.537528339
986,7.382828197
987,10.17017221
988,6.687374408
989,7.693710908
990,9.386374325
991,7.568279325
992,10.35562334
993,7.837023673
994,9.378258876
995,8.537528339
996,9.419268358
997,9.419268358
998,10.17017221
999,1.65530516
1000,2.831505171
1001,5.232833887
1002,5.817422203
1003,7.40260034
1004,10.35562334
1005,6.894638646
1006,7.869917706
1007,10.35562334
1008,8.537528339
1009,-2.468939264
1010,10.35562334
1011,10.17017221
1012,10.35562334
1013,7.659981773
1014,8.688695027
1015,6.900668692
1016,5.043649613
1017,6.50192328
1018,9.378258876
1019,5.86845698
1020,8.537528339
1021,5.664865109
1022,9.378258876
1023,7.341818715
1024,8.32001828
1025,-3.019560712
1026,8.833230889
1027,6.062054368
1028,5.972227683
1029,-2.102142772
1030,6.021849177
1031,10.17017221
1032,4.482729266
1033,10.35562334
1034,10.20306624
1035,4.366775189
1036,1.468046356
1037,9.192807748
1038,-3.019560712
1039,7.869917706
1040,1.950600254
1041,3.632530712
1042,3.488607452
1043,8.285814087
1044,-6.794988033
1045,9.378258876
1046,8.008667844
1047,7.568279325
1048,5.659173427
1049,8.384153672
1050,8.537528339
1051,7.164015311
1052,8.008667844
1053,7.569114427
1054,0.135231287
1055,10.20306624
1056,9.325519678
1057,9.419268358
1058,6.190572844
1059,10.20306624
1060,9.192807748
1061,8.223558735
1062,4.154967785
1063,8.041561877
1064,2.492155913
1065,4.203754177
1066,3.287949031
1067,7.823216716
1068,9.543864839
1069,9.419268358
1070,3.440487634
1071,10.17017221
1072,10.17017221
1073,4.668948566
1074,-0.48144069
1075,9.419268358
1076,2.770723546
1077,10.20306624
1078,3.823139866
1079,6.845852254
1080,9.378258876
1081,6.062054368
1082,2.254846271
1083,4.553713197
1084,9.378258876
1085,-1.541187323
1086,8.008667844
1087,10.20306624
1088,5.973062785
1089,7.031303382
1090,9.474779136
1091,7.031303382
1092,10.35562334
1093,7.528104945
1094,6.687374408
1095,8.041561877
1096,8.041561877
1097,3.664089449
1098,10.35562334
1099,5.490068178
1100,10.35562334
1101,10.20306624
1102,6.990263089
1103,5.839198408
1104,6.401428674
1105,7.856110749
1106,-5.418591604
1107,10.35562334
1108,9.378258876
1109,7.527269843
1110,6.190572844
1111,5.017620728
1112,-5.096175253
1113,9.419268358
1114,7.904897141
1115,5.522962211
1116,6.67624938
1117,6.682323531
1118,-6.764722737
1119,7.837023673
1120,-4.942722342
1121,4.035549197
1122,8.041561877
1123,9.386374325
1124,-2.660191204
1125,10.20306624
1126,-3.194730546
1127,4.676201627
1128,5.551611307
1129,6.190572844
1130,1.447833504
1131,5.557941647
1132,-1.377283546
1133,4.796290202
1134,9.378258876
1135,-0.457598548
1136,8.197271731
1137,0.511478523
1138,10.35562334
1139,8.041561877
1140,5.490068178
1141,5.664865109
1142,6.024893859
1143,9.474779136
1144,10.35562334
1145,10.35562334
1146,9.200923197
1147,10.20306624
1148,8.041561877
1149,10.35562334
1150,6.170095361
1151,10.20306624
1152,7.228022717
1153,10.17017221
1154,-0.527919319
1155,7.837023673
1156,10.35562334
1157,9.378258876
1158,9.378258876
1159,9.358413711
1160,10.35562334
1161,10.35562334
1162,9.378258876
1163,8.008667844
1164,1.982659185
1165,-0.904000994
1166,4.592298134
1167,8.041561877
1168,4.995698323
1169,10.35562334
1170,10.17017221
1171,10.35562334
1172,4.181287836
1173,10.20306624
1174,8.335285195
1175,7.856110749
1176,1.129597424
1177,7.837023673
1178,9.159913715
1179,8.197271731
1180,-2.742501423
1181,10.35562334
1182,7.154119202
1183,1.615862693
1184,5.850316237
1185,6.190572844
1186,5.337511083
1187,10.17017221
1188,1.12571764
1189,5.522962211
1190,8.33895532
1191,10.20306624
1192,10.17017221
1193,9.23381723
1194,10.35562334
1195,6.129180095
1196,9.108089865
1197,10.35562334
1198,8.983493384
1199,5.817422203
1200,10.35562334
1201,3.658757001
1202,10.20306624
1203,3.827683032
1204,8.537528339
1205,6.313388665
1206,2.267445927
1207,3.67405858
1208,7.823216716
1209,3.970201723
1210,4.976611246
1211,4.520819164
1212,8.833230889
1213,7.856110749
1214,6.005121716
1215,6.55802083
1216,7.568279325
1217,0.271896023
1218,3.522336588
1219,7.837023673
1220,9.200923197
1221,8.538363441
1222,7.719446013
1223,10.17017221
1224,5.188429797
1225,7.823216716
1226,10.35562334
1227,8.841252122
1228,9.579229745
1229,4.994863221
1230,-0.162162156
1231,9.419268358
1232,0.786949561
1233,3.800754185
1234,7.904897141
1235,6.998409348
1236,-3.941380895
1237,5.188429797
1238,9.419268358
1239,8.409009863
1240,8.505469408
1241,10.35562334
1242,3.662004047
1243,8.041561877
1244,1.692465669
1245,8.874146155
1246,5.851686335
1247,9.419268358
1248,7.856110749
1249,10.20306624
1250,8.008667844
1251,4.018303049
1252,4.039421163
1253,8.688695027
1254,8.504634306
1255,6.837705994
1256,10.20306624
1257,4.30752488
1258,2.618618343
1259,2.96534695
1260,8.041561877
1261,2.56757378
1262,5.516932165
1263,4.676529018
1264,5.372490519
1265,8.28320369
1266,8.833230889
1267,8.504634306
1268,2.503221757
1269,3.359487115
1270,10.20306624
1271,-4.703320298
1272,1.983494287
1273,8.505469408
1274,8.319183178
1275,9.192807748
1276,-2.516712012
1277,7.569114427
1278,10.35562334
1279,9.419268358
1280,2.655299341
1281,9.419268358
1282,10.35562334
1283,4.296720646
1284,3.615303057
1285,1.394327117
1286,10.17017221
1287,-0.073188847
1288,8.041561877
1289,3.977387783
1290,8.186398226
1291,5.180314349
1292,1.26532669
1293,1.78445132
1294,10.35562334
1295,8.319183178
1296,10.35562334
1297,10.20306624
1298,-7.564284623
1299,7.869917706
1300,2.957417232
1301,0.119338928
1302,9.419268358
1303,6.320577916
1304,5.490068178
1305,6.158513913
1306,4.490750499
1307,5.801418614
1308,9.419268358
1309,6.9654238
1310,7.837023673
1311,7.072312864
1312,7.856110749
1313,8.874146155
1314,9.386374325
1315,10.17017221
1316,5.467870639
1317,6.158513913
1318,-0.03364368
1319,10.20306624
1320,10.20306624
1321,0.963398639
1322,10.20306624
1323,10.35562334
1324,1.526579331
1325,3.006447947
1326,8.041561877
1327,8.153504192
1328,8.894095619
1329,4.178171301
1330,5.549920414
1331,9.952742398
1332,8.874146155
1333,10.17017221
1334,0.831186256
1335,-1.978219264
1336,10.35562334
1337,10.20306624
1338,1.482812939
1339,6.190572844
1340,7.856110749
1341,1.112374893
1342,8.874146155
1343,9.23381723
1344,7.837023673
1345,7.042571589
1346,7.128503548
1347,8.504634306
1348,7.904897141
1349,5.833477545
1350,7.568279325
1351,9.200923197
1352,8.008667844
1353,8.008667844
1354,9.378258876
1355,10.35562334
1356,9.23381723
1357,9.419268358
1358,5.817422203
1359,6.674208082
1360,5.557941647
1361,10.35562334
1362,8.135482501
1363,7.885184621
